Activity ID,Pillar,Age Group,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Hashtags,Materials,Steps,Skills
play-creativity-pre-teen-9-12-design-thinking-for-toys-4,Play & Creativity,Pre-Teen (9-12),Design Thinking for Toys,Develop empathy and problem-solving via redesign,4,Inclusive Toy Design,Inclusive Toy Design,Cultivate empathy and accessibility thinking,Design a toy for children with physical disabilities.,10-12 yrs,60-75 min,#InclusiveDesign;#ToyForAll,Design materials;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Learn about accessibility (e.g., visual or motor impairments);Sketch inclusive toy idea;Present and explain features;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Empathy;Accessibility thinking;Inclusive design;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-design-thinking-for-toys-5,Play & Creativity,Pre-Teen (9-12),Design Thinking for Toys,Develop empathy and problem-solving via redesign,5,Packaging That Pops!,Packaging That Pops!,Develop branding and design sense,Create a toy package that stands out and protects the toy.,9-12 yrs,45-60 min,#ToyBranding;#CreativePackaging,Design materials;Packaging materials;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Design toy box with logos, art;Think of protective structure;Build a mock package;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Branding;Design sense;Packaging design;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-stop-motion-animation-projects-6,Play & Creativity,Pre-Teen (9-12),Stop-motion Animation Projects,"Combine sculpture, storytelling, and tech skills",6,Claymation Mini Movie,Claymation Mini Movie,"Combine sculpture, storytelling, and tech skills",Use clay to create characters and shoot a stop-motion video.,9-12 yrs,60-90 min,#StopMotion;#ClaymationFun,Clay;Phone/tablet;Stop-motion app;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Sculpt 2-3 clay characters;Use phone/tablet app;Take photos frame-by-frame;Add sound;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Sculpture;Storytelling;Tech skills;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-stop-motion-animation-projects-7,Play & Creativity,Pre-Teen (9-12),Stop-motion Animation Projects,"Combine sculpture, storytelling, and tech skills",7,Object Life Stories,Object Life Stories,Animate objects with voiceovers and personality,Pick a daily object and bring it to life through animation.,9-12 yrs,60 min,#ObjectAnimation;#VoiceActing,"Daily object (e.g., eraser);Phone/tablet;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us)","Pick object (e.g., eraser);Give it a story and voice;Animate it moving around your desk;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Animation;Voice acting;Storytelling;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-stop-motion-animation-projects-8,Play & Creativity,Pre-Teen (9-12),Stop-motion Animation Projects,"Combine sculpture, storytelling, and tech skills",8,Paper Puppet Theater,Paper Puppet Theater,Build puppets and sets for animated stories,Use paper puppets and backgrounds in animation.,9-12 yrs,45-60 min,#PuppetStopMotion;#MiniTheater,Paper;Markers;Phone/tablet;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Draw puppets with joints;Create small background scene;Record movements frame-by-frame;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Puppet making;Set design;Animation;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-stop-motion-animation-projects-9,Play & Creativity,Pre-Teen (9-12),Stop-motion Animation Projects,"Combine sculpture, storytelling, and tech skills",9,History Rewind Reel,History Rewind Reel,Integrate storytelling with history,Animate a key event in history using stop-motion.,10-12 yrs,60 min,#HistoryAnimation;#EduCreativity,History materials;Props;Phone/tablet;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Pick a history event (e.g., moon landing);Make simple props;Create 1-minute animation explaining it;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",History integration;Storytelling;Educational creativity;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-stop-motion-animation-projects-10,Play & Creativity,Pre-Teen (9-12),Stop-motion Animation Projects,"Combine sculpture, storytelling, and tech skills",10,Flipbook Animation,Flipbook Animation,Understand motion and sequencing,Draw sequential images in a flipbook to simulate motion.,9-12 yrs,30-45 min,#FlipbookFun;#SequentialArt,Small pages;Stapler;Pencils;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Staple 20-30 small pages;Draw character in motion;Flip pages to animate;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Motion understanding;Sequencing;Animation basics;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-music-composition-and-recording-11,Play & Creativity,Pre-Teen (9-12),Music Composition & Recording,Encourage musical creativity and identity,11,Theme Song Creation,Theme Song Creation,Encourage musical creativity and identity,Compose and record a personal theme song using a basic app.,9-12 yrs,45-60 min,#MusicCreation;#MyThemeSong,Phone/tablet;Music app;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose mood/tempo;Hum melody and write lyrics;Record via app or phone;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Musical creativity;Identity expression;Recording skills;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-music-composition-and-recording-12,Play & Creativity,Pre-Teen (9-12),Music Composition & Recording,Encourage musical creativity and identity,12,Soundtrack to a Scene,Soundtrack to a Scene,Build storytelling with sound,Watch a silent video and create a music track for it.,10-12 yrs,45 min,#SoundtrackChallenge;#AudioVisualPlay,Silent video clip;Music app;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Pick short silent clip;Use app/instrument to score emotions;Present to family or peers;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Storytelling with sound;Emotional scoring;Audio-visual integration;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-music-composition-and-recording-13,Play & Creativity,Pre-Teen (9-12),Music Composition & Recording,Encourage musical creativity and identity,13,Nature Beatbox Session,Nature Beatbox Session,Blend nature sounds and beatboxing,Record outdoor sounds and layer them with beatboxing or rhythm.,9-12 yrs,30-45 min,#Beatboxing;#NatureSounds,Phone/tablet;Recording app;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Record birds, leaves, water;Add rhythm with voice;Layer in phone app;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Beatboxing;Nature sound integration;Rhythm creation;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-music-composition-and-recording-14,Play & Creativity,Pre-Teen (9-12),Music Composition & Recording,Encourage musical creativity and identity,14,Genre Remix Project,Genre Remix Project,Learn musical genres and remixing,Take a known melody and transform it into a different genre.,9-12 yrs,45-60 min,#RemixFun;#GenreMashup,Music app;Known melody;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose nursery rhyme;Make it into rap/classical version;Perform or record;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Musical genres;Remixing;Genre transformation;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-music-composition-and-recording-15,Play & Creativity,Pre-Teen (9-12),Music Composition & Recording,Encourage musical creativity and identity,15,Rhyming Rap Story,Rhyming Rap Story,Boost language and rhythm,Write a short story that rhymes and perform it as a rap.,9-12 yrs,30-45 min,#RapSkills;#CreativeRhymes,Paper;Pencil;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Write 8-line rhyming story;Add beats/claps;Perform for others;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Language skills;Rhythm;Performance;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-sculpting-and-3d-modeling-16,Play & Creativity,Pre-Teen (9-12),Sculpting & 3D Modeling,Promote sustainability and spatial thinking,16,Recycled Sculpture Build,Recycled Sculpture Build,Promote sustainability and spatial thinking,Use recycled materials to make 3D sculptures.,9-12 yrs,45-60 min,#RecycledArt;#SculptureTime,Bottle caps;Boxes;Straws;Glue;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Collect bottle caps, boxes, straws;Design an animal/building;Glue into 3D model;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Sustainability;Spatial thinking;3D construction;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-sculpting-and-3d-modeling-17,Play & Creativity,Pre-Teen (9-12),Sculpting & 3D Modeling,Promote sustainability and spatial thinking,17,Clay Emotion Masks,Clay Emotion Masks,Explore emotion expression through sculpture,Sculpt masks with different emotions from clay.,9-12 yrs,45-60 min,#EmotionalArt;#ClayMask,Clay;Paint;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Discuss 3-4 emotions;Sculpt masks showing each one;Paint and share;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Emotion expression;Sculpture techniques;Emotional awareness;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-sculpting-and-3d-modeling-18,Play & Creativity,Pre-Teen (9-12),Sculpting & 3D Modeling,Promote sustainability and spatial thinking,18,3D Food Art,3D Food Art,Combine sculpture and fun design,Create pretend food items using air-dry clay.,9-12 yrs,30-45 min,#FoodSculpting;#MiniatureArt,Air-dry clay;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Sculpt mini burgers, pizzas, desserts;Add texture details;Air dry and display;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Sculpture techniques;Fun design;Miniature art;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-sculpting-and-3d-modeling-19,Play & Creativity,Pre-Teen (9-12),Sculpting & 3D Modeling,Promote sustainability and spatial thinking,19,Architecture from Imagination,Architecture from Imagination,Foster structural creativity,Build imaginary buildings or cities using modeling clay or LEGO.,9-12 yrs,45-60 min,#CreativeArchitecture;#FutureCity,Modeling clay or LEGO;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Imagine theme (e.g., floating city);Sculpt buildings with clay/blocks;Present vision;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Structural creativity;Imagination;Architecture basics;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-sculpting-and-3d-modeling-20,Play & Creativity,Pre-Teen (9-12),Sculpting & 3D Modeling,Promote sustainability and spatial thinking,20,Miniature Stage Set,Miniature Stage Set,Merge theater and 3D art skills,"Build a tiny stage set from cardboard, cloth, and mini props.",9-12 yrs,45-60 min,#StageDesign;#MiniTheaterArt,Cardboard;Cloth;Mini props;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose a play scene;Design background and props;Build in a shoebox or base;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Theater design;3D art skills;Set construction;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-artistic-performance-and-design-1,Play & Creativity,Teen (13-18),Artistic Performance & Design,Express social issues through creative expression,1,Street Theatre Performance,Street Theatre Performance,Express social issues through creative expression,"Teens create, rehearse, and perform a short street play on a social topic.",13-18 yrs,90-120 min,#StreetTheatre;#SocialDrama,Script materials;Props;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Pick a social issue (e.g., bullying, climate);Write script and assign roles;Perform for peers/community;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Social awareness;Performance skills;Community engagement;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-artistic-performance-and-design-2,Play & Creativity,Teen (13-18),Artistic Performance & Design,Express social issues through creative expression,2,Costume Design Studio,Costume Design Studio,Learn design thinking through costume creation,Design and create a costume for a fictional character or scene.,13-18 yrs,60-90 min,#CostumeDesign;#CreativeSewing,Fabric;Sewing materials;Design tools;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Sketch costume ideas;Choose materials (upcycled if possible);Assemble and present;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Design thinking;Costume creation;Creative sewing;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-artistic-performance-and-design-3,Play & Creativity,Teen (13-18),Artistic Performance & Design,Express social issues through creative expression,3,Spoken Word Slam,Spoken Word Slam,Build confidence and language expression,Write and perform original spoken word poetry.,13-18 yrs,60-90 min,#SpokenWord;#TeenVoice,Paper;Pencil;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Write a 1-minute poem on a personal topic;Practice delivery with expression;Perform to peers or record;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Confidence building;Language expression;Performance skills;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-artistic-performance-and-design-4,Play & Creativity,Teen (13-18),Artistic Performance & Design,Express social issues through creative expression,4,Stage Lighting Design,Stage Lighting Design,Learn tech-art crossover via theater lighting,Explore lighting design to set stage mood and themes.,14-18 yrs,60 min,#LightingDesign;#Stagecraft,Lighting equipment;Stage setup;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Watch a stage scene;Plan lighting colors and positions;Create lighting storyboard or demo;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Tech-art integration;Lighting design;Stagecraft;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-artistic-performance-and-design-5,Play & Creativity,Teen (13-18),Artistic Performance & Design,Express social issues through creative expression,5,Set Design Blueprint,Set Design Blueprint,Practice spatial imagination and story visualization,Design a blueprint for a theater or film set.,13-18 yrs,60 min,#SetDesign;#VisualPlanning,Blueprint paper;Drawing tools;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Pick a story scene;Draw top-down blueprint of the set;Include props, lights, and backdrops;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Spatial imagination;Story visualization;Technical drawing;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-creating-digital-art-6,Play & Creativity,Teen (13-18),Creating Digital Art,Blend storytelling and digital art tools,6,Digital Comic Strip,Digital Comic Strip,Blend storytelling and digital art tools,Use digital tools to design a short comic strip.,13-18 yrs,60-90 min,#DigitalComics;#VisualNarrative,"Digital art tools (Canva, IbisPaint, Procreate);Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us)","Create 3-6 panel story idea;Use Canva, IbisPaint, or Procreate;Add speech bubbles and effects;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Digital art tools;Storytelling;Visual narrative;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-creating-digital-art-7,Play & Creativity,Teen (13-18),Creating Digital Art,Blend storytelling and digital art tools,7,Self-Portrait Remix,Self-Portrait Remix,Promote self-reflection and identity through art,Create a digital self-portrait using creative filters and collage.,13-18 yrs,45-60 min,#SelfPortrait;#DigitalRemix,Photo;Digital art tools;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Take a photo;Overlay with abstract/representative images;Add words or symbols of identity;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Self-reflection;Identity expression;Digital collage;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-creating-digital-art-8,Play & Creativity,Teen (13-18),Creating Digital Art,Blend storytelling and digital art tools,8,Fantasy World Map,Fantasy World Map,Encourage world-building and geography design,Design a digital map of an imaginary world.,13-18 yrs,60-90 min,#FantasyMap;#CreativeWorldBuilding,Digital map or art tool;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Name continents, landmarks, cities;Draw using digital map or art tool;Add legend and symbols;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",World-building;Geography design;Creative mapping;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-creating-digital-art-9,Play & Creativity,Teen (13-18),Creating Digital Art,Blend storytelling and digital art tools,9,Memes with Meaning,Memes with Meaning,"Blend humor, design, and critical thinking","Design meaningful, funny memes about school/life issues.",13-18 yrs,30-45 min,#TeenMemes;#CreativeCritique,Meme templates;Digital tools;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Choose a theme (e.g., exams, friendships);Use meme templates;Share and explain meaning;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Humor;Design;Critical thinking;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-creating-digital-art-10,Play & Creativity,Teen (13-18),Creating Digital Art,Blend storytelling and digital art tools,10,Social Change Poster,Social Change Poster,Empower civic voice through art,Create a poster on a social/environmental issue.,13-18 yrs,45-60 min,#DigitalPoster;#TeenActivism,Canva or similar tool;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Choose cause (e.g., gender equality);Use Canva or similar;Add strong slogan and icons;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Civic voice;Social awareness;Poster design;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-building-and-designing-gadgets-11,Play & Creativity,Teen (13-18),Building and Designing Gadgets,Learn sustainability and innovation,11,Recycled Gadget Challenge,Recycled Gadget Challenge,Learn sustainability and innovation,Build a useful gadget from scrap/recycled materials.,13-18 yrs,60-90 min,#DIYGadget;#Sustainability,E-waste;Cardboard;Basic tools;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Gather e-waste, cardboard, etc.;Build something useful (e.g., phone stand, light);Present function;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Sustainability;Innovation;DIY skills;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-building-and-designing-gadgets-12,Play & Creativity,Teen (13-18),Building and Designing Gadgets,Learn sustainability and innovation,12,Paper Circuit Cards,Paper Circuit Cards,Introduce basic electronics through art,Make greeting cards with LED lights using copper tape.,13-18 yrs,45-60 min,#PaperCircuits;#TechArt,LED;Coin battery;Copper tape;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Draw card design;Add LED + coin battery using copper tape;Light it up with creativity;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Basic electronics;Art integration;Circuit design;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-building-and-designing-gadgets-13,Play & Creativity,Teen (13-18),Building and Designing Gadgets,Learn sustainability and innovation,13,Rubber Band-Powered Machine,Rubber Band-Powered Machine,Explore physics and motion via DIY mechanics,Build a simple machine powered by tension.,13-18 yrs,60-75 min,#DIYPhysics;#CreativeMechanics,Wheels;Rubber bands;Sticks;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Use wheels, rubber bands, sticks;Assemble and test motion;Compete for distance;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Physics understanding;Motion mechanics;DIY construction;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-building-and-designing-gadgets-14,Play & Creativity,Teen (13-18),Building and Designing Gadgets,Learn sustainability and innovation,14,Smartphone Tripod Hack,Smartphone Tripod Hack,Promote media creativity with low-tech tools,Create a smartphone tripod using household items.,13-18 yrs,30-45 min,#PhoneHack;#MediaCreation,Clips;Paper rolls;Cardboard;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Use clips, paper rolls, cardboard;Secure phone safely;Use for filming or Zoom;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Media creativity;Low-tech solutions;Phone accessories;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-building-and-designing-gadgets-15,Play & Creativity,Teen (13-18),Building and Designing Gadgets,Learn sustainability and innovation,15,Chain Reaction Machine,Chain Reaction Machine,Learn engineering through fun,Design a Rube Goldberg machine.,13-18 yrs,60-90 min,#ChainReaction;#FunEngineering,Dominos;Balls;Ramps;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Use dominos, balls, ramps;Plan multi-step action;Record video of it working;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Engineering;Chain reactions;Video recording;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-independent-fashion-design-16,Play & Creativity,Teen (13-18),Independent Fashion Design,Learn sustainable design and textile creativity,16,T-Shirt Upcycle Project,T-Shirt Upcycle Project,Learn sustainable design and textile creativity,Redesign old T-shirts into something new.,13-18 yrs,45-60 min,#UpcycleFashion;#CreativeTeens,Old T-shirt;Scissors;Fabric paint;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Pick old T-shirt;Cut, stitch, paint, or knot into new item;Wear or share online;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Sustainable design;Textile creativity;Upcycling;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-independent-fashion-design-17,Play & Creativity,Teen (13-18),Independent Fashion Design,Learn sustainable design and textile creativity,17,Mood Board for a Collection,Mood Board for a Collection,Practice theme-based fashion ideation,Create a digital or physical collage representing a clothing line.,13-18 yrs,30-45 min,#FashionMoodBoard;#TeenDesign,Magazines;Digital tools;Glue;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Choose theme (e.g., streetwear, nature);Add textures, colors, inspirations;Present vision;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Theme-based ideation;Fashion design;Visual presentation;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-independent-fashion-design-18,Play & Creativity,Teen (13-18),Independent Fashion Design,Learn sustainable design and textile creativity,18,Fabric Painting Lab,Fabric Painting Lab,Promote wearable art and DIY,Paint or stencil designs on cloth or clothes.,13-18 yrs,45-60 min,#WearableArt;#TextileDesign,Fabric or T-shirt;Fabric paint;Stencils;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose fabric or T-shirt;Sketch design;Use fabric paint or pens to apply;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Wearable art;DIY skills;Textile design;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-independent-fashion-design-19,Play & Creativity,Teen (13-18),Independent Fashion Design,Learn sustainable design and textile creativity,19,Cultural Fusion Outfit Sketch,Cultural Fusion Outfit Sketch,Build cultural awareness and design skills,Design an outfit combining styles from two cultures.,13-18 yrs,45-60 min,#CulturalFashion;#GlobalTeens,Sketch materials;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Choose 2 cultures (e.g., Indian + Japanese);Sketch fusion outfit;Explain elements;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Cultural awareness;Design skills;Global understanding;Material management;Progress tracking;Resource sharing
play-creativity-teen-13-18-independent-fashion-design-20,Play & Creativity,Teen (13-18),Independent Fashion Design,Learn sustainable design and textile creativity,20,DIY Fashion Photoshoot,DIY Fashion Photoshoot,"Explore styling, modeling, and visual storytelling",Plan and execute a themed fashion shoot.,13-18 yrs,60-90 min,#FashionPhotoshoot;#TeenCreativity,Camera/phone;Outfits;Props;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose outfit theme;Set background and pose ideas;Capture photos and edit;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Styling;Modeling;Visual storytelling;Material management;Progress tracking;Resource sharing
cognitive-skills-infant-0-1-visual-tracking-and-focus-1,Cognitive Skills,Infant (0-1),Visual Tracking & Focus,Develop visual attention and tracking abilities through hands-on activities,1,High Contrast Card Play,High Contrast Card Play,Stimulate visual development and focus through engaging card activities,Use high contrast cards to capture baby's attention and develop visual tracking skills through interactive play.,0-6 months,5-10 min,#VisualDevelopment;#FocusTraining;#InfantActivities,High contrast black and white cards (supplied by us);Soft play mat (available at home);Baby-safe mirror (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),"Place baby on soft play mat in comfortable position;Hold high contrast cards 8-12 inches from baby's face;Slowly move cards left to right, watching for eye tracking;Use baby-safe mirror to show baby their own reflection;Talk to baby about what they're seeing: 'Look at the black and white patterns!';Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete",Visual tracking;Focus development;Eye coordination;Attention span;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-visual-tracking-and-focus-2,Cognitive Skills,Infant (0-1),Visual Tracking & Focus,Develop visual attention and tracking abilities through hands-on activities,2,Floating Balloon Discovery,Floating Balloon Discovery,Encourage visual tracking and head movement through balloon play,"Use helium balloons to encourage baby to track movement and develop neck strength through safe, supervised play.",2-8 months,10-15 min,#VisualTracking;#NeckStrength;#BalloonPlay,Helium balloon with string (supplied by us);Soft floor mat (available at home);Colorful ribbons (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Tie balloon to baby's wrist or place nearby at safe distance;Let baby watch balloon move naturally in the air;Gently guide baby's hand to touch the balloon string;Add colorful ribbons to make it more engaging;Supervise closely and remove if baby shows signs of distress;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Visual tracking;Head movement;Cause and effect;Neck strength;Learning assessment;Progress tracking;Resource management
cognitive-skills-infant-0-1-visual-tracking-and-focus-3,Cognitive Skills,Infant (0-1),Visual Tracking & Focus,Develop visual attention and tracking abilities through hands-on activities,3,Peek-a-Boo Object Game,Peek-a-Boo Object Game,Develop object permanence and attention through interactive hide-and-seek,"Hide and reveal favorite objects to help baby understand that things exist even when not seen, building memory and attention skills.",4-12 months,5-10 min,#ObjectPermanence;#AttentionTraining;#HideAndSeek,Baby's favorite soft toy (available at home);Colorful scarves or cloths (supplied by us);Small soft balls (supplied by us);Cognitive development kit (supplied by us);Learning progress tracker (supplied by us);Skill assessment tools (supplied by us),Show baby their favorite toy and let them touch it;Cover the toy with a colorful scarf while baby watches;Ask 'Where did the toy go?' with excitement;Reveal the toy with a big smile and say 'Peek-a-boo!';Repeat with different objects and let baby try to find them;Use our cognitive development kit;Follow our learning progress tracker;Complete skill assessment;Return materials when activity is complete,Object permanence;Attention span;Memory development;Social interaction;Learning assessment;Progress tracking;Resource management
